distance_m,cost,phase
0.000000,0.000000,start
0.100000,0.350000000,movement
0.200000,0.635185185,movement
0.300000,0.888073067,movement
0.400000,1.120483197,movement
0.500000,1.338380854,movement
0.600000,1.545292437,movement
0.700000,1.743512978,movement
0.800000,1.934637023,movement
0.900000,2.119826435,movement
1.000000,2.299959097,movement
1.100000,2.475717612,movement
1.200000,2.647645205,movement
1.300000,2.816182572,movement
1.400000,2.981693065,movement
1.500000,3.144480426,movement
1.600000,3.304801618,movement
1.700000,3.462876303,movement
1.800000,3.618893989,movement
1.900000,3.773019500,movement
2.000000,3.925397246,movement
2.100000,4.076154573,movement
2.200000,4.225404452,movement
2.300000,4.373247639,movement
2.400000,4.519774435,movement
2.500000,4.665066141,movement
2.600000,4.809196253,movement
2.700000,4.952231466,movement
2.800000,5.094232521,movement
2.900000,5.235254913,movement
3.000000,5.375349505,movement
3.100000,5.514563042,movement
3.200000,5.652938601,movement
3.300000,5.790515981,movement
3.400000,5.927332034,movement
3.500000,6.063420964,movement
3.600000,6.198814579,movement
3.700000,6.333542519,movement
3.800000,6.467632455,movement
3.900000,6.601110268,movement
4.000000,6.734000200,movement
4.100000,6.866324999,movement
4.200000,6.998106040,movement
4.300000,7.129363440,movement
4.400000,7.260116155,movement
4.500000,7.390382074,movement
4.600000,7.520178094,movement
4.700000,7.649520204,movement
4.800000,7.778423541,movement
4.900000,7.906902459,movement
5.000000,8.034970578,movement
5.100000,8.162640840,movement
5.200000,8.289925550,movement
5.300000,8.416836422,movement
5.400000,8.543384616,movement
5.500000,8.669580773,movement
5.600000,8.795435048,movement
5.700000,8.920957141,movement
5.800000,9.046156322,movement
5.900000,9.171041462,movement
6.000000,9.295621049,movement
6.100000,9.419903217,movement
6.200000,9.543895762,movement
6.300000,9.667606163,movement
6.400000,9.791041599,movement
6.500000,9.914208964,movement
6.600000,10.037114884,movement
6.700000,10.159765731,movement
6.800000,10.282167635,movement
6.900000,10.404326498,movement
7.000000,10.526248003,movement
7.100000,10.647937628,movement
7.200000,10.769400655,movement
7.300000,10.890642178,movement
7.400000,11.011667115,movement
7.500000,11.132480213,movement
7.600000,11.253086057,movement
7.700000,11.373489081,movement
7.800000,11.493693568,movement
7.900000,11.613703663,movement
8.000000,11.733523377,movement
8.100000,11.853156592,movement
8.200000,11.972607067,movement
8.246211,12.027723862,movement
8.246211,14.046913707,extraction
8.346211,14.163528410,movement
8.446211,14.280015338,movement
8.546211,14.396376578,movement
8.646211,14.512614165,movement
8.746211,14.628730082,movement
8.846211,14.744726263,movement
8.946211,14.860604596,movement
9.046211,14.976366920,movement
9.146211,15.092015034,movement
9.246211,15.207550689,movement
9.346211,15.322975598,movement
9.446211,15.438291433,movement
9.546211,15.553499827,movement
9.646211,15.668602373,movement
9.746211,15.783600631,movement
9.846211,15.898496124,movement
9.946211,16.013290340,movement
10.046211,16.127984734,movement
10.146211,16.242580730,movement
10.246211,16.357079720,movement
10.346211,16.471483065,movement
10.446211,16.585792096,movement
10.546211,16.700008118,movement
10.646211,16.814132405,movement
10.746211,16.928166207,movement
10.846211,17.042110745,movement
10.946211,17.155967217,movement
11.046211,17.269736794,movement
11.146211,17.383420626,movement
11.246211,17.497019836,movement
11.346211,17.610535527,movement
11.446211,17.723968778,movement
11.546211,17.837320648,movement
11.646211,17.950592175,movement
11.746211,18.063784375,movement
11.846211,18.176898245,movement
11.946211,18.289934764,movement
12.046211,18.402894891,movement
12.146211,18.515779566,movement
12.246211,18.628589713,movement
12.346211,18.741326237,movement
12.446211,18.853990026,movement
12.546211,18.966581954,movement
12.646211,19.079102875,movement
12.746211,19.191553630,movement
12.846211,19.303935045,movement
12.946211,19.416247929,movement
13.046211,19.528493078,movement
13.146211,19.640671274,movement
13.246211,19.752783283,movement
13.346211,19.864829860,movement
13.446211,19.976811745,movement
13.546211,20.088729667,movement
13.646211,20.200584340,movement
13.746211,20.312376468,movement
13.846211,20.424106741,movement
13.946211,20.535775839,movement
14.046211,20.647384430,movement
